Movie,Scene,Character,Dialogue,Sentiment_Score,Sentiment_Label,Emotion_Label,Word_Count,Sentence_Count,Words_Per_Sentence,Lexical_Diversity_TTR,Hesitation_Markers,Is_Question
AMERICAN_PSYCHO,INT. 'PASTELS' RESTAURANT - NIGHT,BATEMAN V/O,"...with goat cheese profiteroles and i also havean.arugula caesar salad. for entrees tonight i have a swordfish meatloaf with onion marmalade, a rareroasted partridge breast in raspberry coulis with a sorrel timbale... huge white porcelain plates descend on very pale pink linen table cloths. each entree is a rectangle about four inches square and looks exactly alike. close on various diners as we hear fragments of conversation. ""is that charley sheen over there?"" ""excuse me? i ordered cactus pear sorbet."" ...and grilled free range rabbit with herbed french fries. ourpasta tonight is a squid ravioli in a lemon grass broth... close on porcelain plates containing elaborate perpendicular desserts descending on another table. patrick bateman, timothy price, craig mcdermott and david van patten are at a table set for four. they are all wearing expensively cut suits, suspendprs, slicked back hair. van patten wears horn rimmed glasses. thecamera moves in on bateman as his narration begins",0.6868,Positive,Neutral,180,13,13.846153846153847,0.6611111111111111,4,1
AMERICAN_PSYCHO,INT. 'PASTELS' RESTAURANT - NIGHT,MCDERMOTT,"you'll notice that my friends and i all look and behave in a remarkably similar fashion but there are subtle differences between us. mcdermott is the biggest asshole. van patten is the yes man. price is the most wired. i'm the best looking. we all have light tans. right now i'm in a bad mood because this is not a good table, and van patten keeps asking dumb, obvious questions about how to dress... what are the rules for a sweater vest? what do you mean? yes. clarify. well, is it strictly informalbateman or can it be worn with a suit? exactly. with discreet pinstripes you should wear a subdued blue or charcoal gray vest. a plaid suit would call for a bolder vest. but avoid matching the vest's pattern with your socks or tie. wearing argyle socks with an argyle vest will look too studied.",0.4644,Positive,Anger,170,16,10.625,0.5941176470588235,1,1
AMERICAN_PSYCHO,INT. 'PASTELS' RESTAURANT - NIGHT,MCDERMOTT,"you think so? you'll look like you consciously worked for the look. good point. excuse me, gentlemen. van patten leaves the table. as he does so a bus boy discretely removes their largely untouched plates. van patten looks puffy. has he stopped working out? it looks that way, doesn't it? did he just take our plates away? he took them away because the portions are so small he probably thought we were finished. god i hate this place. this is a chick's restaurant. why aren't we at dorsia? because bateman won't give the maitre d'head. bateman throws a swizzle stick at him. mcdermott scans the room, settling on a handsome young man with slicked back hair and hornrimmed glasses. is that reed robinson over there? are you freebasing or what? that's not robinson. who is it then?",0.737,Positive,Sadness,167,21,7.9523809523809526,0.592814371257485,0,1
AMERICAN_PSYCHO,INT. 'PASTELS' RESTAURANT - NIGHT,MCDERMOTT,"that s paul owen. that's not paul owen. paul owen's on the other side of the room. over there. he points to another handsome young man with slicked back hair and'hornrimmed glasses. who is he with? some weasel from kicker peabody. van patten returns. they don' t have a good bathroom to do coke in. are you sure that's paul owen over there? yes, mcdufus, i am. he's handling the fisher account. lucky bastard. lucky jew bastard. oh jesus, mcdermott, what does that have to do with anything?",0.8496,Positive,Surprise,112,15,7.466666666666667,0.5714285714285714,0,1
AMERICAN_PSYCHO,INT. 'PASTELS' RESTAURANT - NIGHT,VAN PATTEN,"you spin a dreidel, mcdermott, not a menorah. you spin a dreidel. oh my god bateman, do you want me to fry you up some fucking potato pancakes? some latkes? no. just cool it with the antisemitic remarks. oh i forgot. bateman's dating someone from the aclu. price leans over and pats bateman on the back. the voice of reason. the boy next door. and speaking of reasonable... he shows mcdermott the bill for the meal. only 470. not bad. the others murmur agreement. four platinum amex cards slap down on the table.",0.8594,Positive,Neutral,113,15,7.533333333333333,0.6017699115044248,1,1
AMERICAN_PSYCHO,INT. LIMOUSINE - NIGHT,VAN PATTEN,last week i picked up this vassar chick,0.0,Neutral,Joy,8,1,8.0,1.0,0,0
AMERICAN_PSYCHO,INT. LIMOUSINE - NIGHT,MCDERMOTT,"but i never told you what happened afterwards. so okay, i pick up this vassar chick at tunnel hot number, big tits, great legs, this chick was a little hardbody and so i buy her a couple of champagne kirs and she's in the city on spring break and she's practically blowing me in the chandelier room and so i take her back to my place whoa, wait. may i ask where pamela is during all this? oh fuck you. i want a blowjob, bateman. i want a chick who's gonna let me i don't want to hear this. he's going to say something disgusting. you prude. listen, we're not gonna invest in a coop together or jet down to saint bart's. i just want some chick whose face i can sit on for thirty, forty minutes. price throws a cigar at mcdermott, who catches it. anyway, so were back at my place,and listen to this. she's had enough champagne by now to get a fucking rhino tipsy, and get this she let you fuck her without a condom?",0.1647,Positive,Disgust,215,13,16.53846153846154,0.5395348837209303,0,1
AMERICAN_PSYCHO,INT. LIMOUSINE - NIGHT,IN UNISON,never date a vassar girl.,0.0,Neutral,Disgust,6,1,6.0,0.8333333333333334,0,0
AMERICAN_PSYCHO,EXT. 'TUNNEL'NIGHTCLUB - NIGHT,PRICE,"i suppose he doesn't want the car. price, ask him if he takes american express. you take amex, dude? the man stumbles away. the club doorman, seeing the limousine, unhooks the velvet rope and welcomes them inside.",0.3565,Positive,Surprise,47,5,9.4,0.6808510638297872,0,1
AMERICAN_PSYCHO,"INT. LADIES ROOM,TUNNEL - NIGHT",PRICE,"i'm not sure, guy, but i don't think dyslexia is a virus. oh, who knows? they dont know that. prove it. price and bateman finally get a stall and rush in. price is sweating. i'm shaking. you open it. bateman opens a tiny packet of coke. jeez. that's not a helluva a lot, is it? maybe it's just the light. is he fucking selling it by the milligram? oh my god... what?",-0.6899,Negative,Surprise,96,14,6.857142857142857,0.5416666666666666,1,1
AMERICAN_PSYCHO,"INT. LADIES ROOM,TUNNEL - NIGHT",BATEMAN,it's a fucking milligram of sweet 'n' low! bateman dips his amex in the envelope and snorts.,0.3518,Positive,Disgust,21,2,10.5,0.7619047619047619,0,0
AMERICAN_PSYCHO,"INT. LADIES ROOM,TUNNEL - NIGHT",STALL THINKS ITS OKAY,"i want to get high off this, bateman, not sprinkle it on my fucking allbran. the guy in stall next door yells at them in an effeminate voice could you keep it down, i'm trying to do drugs! price pounds his fist against the stall. calm down. let's do it anyway. i guess you're right... fuck you!",-0.6229,Negative,Anger,70,6,11.666666666666666,0.6428571428571429,1,0
AMERICAN_PSYCHO,"INT. LADIES ROOM,TUNNEL - NIGHT",BATEMAN,"no, fuck you!! sorry, dude. steroids... okay, lets do it. that's the spirit. they both dig their platinum amex cards into, the envelope of white powder, shoveling it up their noses, then sticking their fingers' in to catch the residue and rubbing it into their gums.",-0.6103,Negative,Disgust,61,5,12.2,0.6229508196721312,1,0
AMERICAN_PSYCHO,INT. NIGHTCLUB - NIGHT,BATEMAN,two stoli on the rocks. he hands her two drink tickets. it's after eleven. those aren't good any more. it's a cash bar. that'll be twenty five dollars. bateman pulls out an expensive looking wallet and hands her a fifty. she turns her back and searches the cash register for change. you are a fucking ugly bitch i want to stab to death and then play around with your blood. the music muffles his voice. she turns round. he is smiling at her. she gives him his change impassively.,-0.9155,Negative,Anger,106,13,8.153846153846153,0.6415094339622641,0,0
AMERICAN_PSYCHO,INT. BATEMAN'S APARTMENT - MORNING,BATEMAN V/O,"my name is patrick bateman. i am twenty six years old. i live in the american garden buildings on west 81st st., on the eleventh floor. tom cruise lives in the penthouse. bateman walks into his bathroom, urinates while trying to see his reflection in a poster for 'les miserables' above his toilet.",0.0,Neutral,Surprise,61,5,12.2,0.6885245901639344,0,0
